,單位（12級）,單位序,序,文號,主旨,附件,附件名稱,不歸檔原因,承辦單位,承辦人,保存狀況,0
1638,總務處採購組,,1387,1081301487,"本校土木系採購「聲學量測阻抗管」(採購案號：108U-117C)一案，經決標後總價為新台幣720,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,財物採購契約書及開標相關文件,單位抽存(存查單位：總務處採購組),總務處採購組,陳薇如,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1639,總務處採購組,,1388,1081301493,"本校事務組採購『109年度電話交換機系統維護保養合約』(採購案號：108M-049C)一案，經決標後總價為新台幣2,010,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,勞務採購契約書及開標相關文件,單位抽存(存查單位：總務處採購組),總務處採購組,陳薇如,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1640,總務處採購組,,1389,1081301518,"本校圖書館採購「2020年EndNote書目管理軟體使用費」 (採購案號：108U-166C)一案，經決標後總價為新台幣 272,000元整，茲檢附訂購契約書一式4份，請核閱及准 予用印。",附件1,財物採購契約書及開標相關文件,單位抽存(存查單位：總務處採購組),總務處採購組,陳薇如,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1641,總務處採購組,,1390,1081301553,"本校太空所採購「波型控制回授與除錯及可調式濾波器系統」(採購案號：108U-173C)一案，經決標後總價為 新台幣315,000元整，茲檢附訂購契約書一式4份，請核閱 及准予用印。",附件1,財物採購契約書及開標相關文件,單位抽存(存查單位：總務處採購組),總務處採購組,陳薇如,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1642,總務處採購組,,1391,1081301546,"本校太空所採購「太陽能陣列模擬器模組」(採購案號：108U-152C)一案，經決標後總價為新台幣545,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,財物採購契約書及開標相關文件。,單位抽存(存查單位：總務處採購組),總務處採購組,陳薇如,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1643,總務處採購組,,1392,1081301620,"本校圖書館採購「圖書館自動化系統Innopac(Millennium) 109年度維護費」 (採購案號：108U-180C)一案，經決標後總價為新台幣 940,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,勞務採購契約書及開標相關文件,單位抽存(存查單位：總務處採購組),總務處採購組,陳薇如,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1644,總務處採購組,,1393,1061300540,"本校機械系採購『HyperWorks軟體』乙案(採購案號：106U-130T)，經決標後總價為新台幣150,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,106U-130T決標紀錄及契約書等,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1645,總務處採購組,,1394,1061300621,"本校電算中心採購『骨幹核心交換器』(採購案號：106U-144T)乙案，經決標後總價為新台幣345,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,106U-144T合約及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1646,總務處採購組,,1395,1061300664,"本校圖書館採購『2018年WestlawNext法律資料庫檢索費』乙案(採購案號：106U-151T)，經決標後總價為新台幣246,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,106U-151T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1647,總務處採購組,,1396,1061300678,"本校客家系採購『106年度補助大學校院發展客家學術機構計畫聯合成果發表會食宿事務』乙案(採購案號：106U-158T)，經決標後總價為新台幣268,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,106U-158T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1648,總務處採購組,,1397,1061300747,"本校太空所採購『XACT 高效能立方衛星姿態感測控制元件 + GPS』乙案(採購案號：106M-045T)，經決標後總價為美幣140,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,106M-045T契約書及議價文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1649,總務處採購組,,1398,1061300749,"本校認知所採購『30通道無線乾式電極腦波圖系統設備(Channel Quick-30wireless dry EEG system with Trigger Module and AIM)』乙案(採購案號：106U-165T)，經決標後總價為美幣25,970元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,106U-165T契約書及議價文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1650,總務處採購組,,1399,1061300809,"本校前瞻科技研究中心採購『107年雲量預報系統定期維護』(採購案號：106U-172T)乙案，經決標後總價為新台幣590,550元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,106U-172T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1651,總務處採購組,,1400,1061300822,"本校地科中心採購案號106R-012T『西元2018年Nature Climate Change、Nature Geoscience電子期刊』總價為新台幣1,990,000元整，茲檢附得標廠商履約保證金及訂購契約書一式4份，請核閱及准予用印。",附件1,106R-012T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1652,總務處採購組,,1401,1061300852,"本校總教學中心採購『MATLAB數值分析模擬軟體網路授權2年期』(採購案號：106U-200T)乙案，經決標後總價為新台幣250,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,106U-200T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1653,總務處採購組,,1402,1071300039,"本校教務處採購『教務處 e-Win BI專案建置Phase IV報表功能增修建置及諮詢服務一式』(採購案號：106U-179T)乙案，經決標後總價為新台幣555,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,106U-179T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1654,總務處採購組,,1403,1071300162,"本校前瞻科技研究中心採購『網路加密連線安全機制研究』(採購案號：106U-193T)乙案，經決標後總價為新台幣877,500元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,106U-193T契約書及議價文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1655,總務處採購組,,1404,1071300265,本校體育室採購『107年全國大專校院運動會大會貴賓服裝』乙案(採購案號：106U-186T)，參考最有利標精神辦理評審，評審結果『賽斯柏運動科技股份有限公司』為第一名優勝廠商，擬邀該公司進行議約，可否請核示。,附件1,106U-186T評審會議記錄及評審資料,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1656,總務處採購組,,1405,1071300301,"本校體育室採購『107年全國大專校院運動會大會貴賓服裝』(採購案號：106U-186T)乙案，經決標後總價為新台幣950,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,106U-186T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1657,總務處採購組,,1406,1071300341,"本校環工所採購『離子層析儀用自動注射器』(採購案號：107U-017T)乙案，經決標後總價為新台幣725,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-017T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1658,總務處採購組,,1407,1071300339,本校教務處採購『教務處 e-Win BI專案建置Phase IV報表功能增修建置及諮詢服務』（採購案號：106U-179T）第1期履約逾期15日之違約金計罰事宜，陳請鑒核。,附件1,106U-179T驗收紀錄相關,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1659,總務處採購組,,1408,1071300355,有關本校「107年全國大專校院運動會競賽器材租賃、購置與搬運」採購案(106M-052T)採購評選委員會之評選結果，簽請　鑒核。,附件1,106M-052T採購案評選資料,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1660,總務處採購組,,1409,1071300397,"本校學務處生活輔導組採購『107年學生宿舍冷氣設備汰換1批』(採購案號：107M-001T)乙案，經決標後總價為新台幣12,396,780元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107M-001T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1661,總務處採購組,,1410,1071300414,"本校體育室採購『107年全國大專校院運動會競賽器材租賃、購置與搬運』(採購案號：106M-052T)乙案，經決標後總價為新台幣16,200,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,106M-052T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1662,總務處採購組,,1411,1079900794,本公司承攬貴校「107年學生宿會冷氣設備汰換1批」案號：107M一001T，契約中，交貨及驗收要求每批需抽查冷氣機送標準檢驗局新竹分局委託試驗，因標準檢驗局新竹分局檢驗設備更新履約期限內無法檢測，請查照。,附件1,107M-001T協調會議紀錄及契約變更草案,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1663,總務處採購組,,1412,1071300489,本校體育室請購『107年全國大專校院運動會錄影、照相及剪輯』乙案採購案(採購案號：107U-024T)，參考最有利標精神辦理評審，評審結果『映石創意有限公司』為第一名優勝廠商，擬邀該公司進行議價，可否請核示。,附件1,107U-024T評審會議記錄及評分表,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1664,總務處採購組,,1413,1071300508,"本校電機系採購『尊爵系統(梗塞性中風磁振造影之快速自動量化)之圖形使用者介面程式之開發』(採購案號：107U-003T-1)乙案，經決標後總價為新台幣232,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-003T-1契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1665,總務處採購組,,1414,1071300506,"本校體育室採購『107年全國大專校院運動會錄影、照相及剪輯』(採購案號：107U-024T)乙案，經決標後總價為新台幣940,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-024T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1666,總務處採購組,,1415,1071300519,"本校圖書館採購『ACS 2018年電子期刊46種』(採購案號：107M-014T)乙案，經決標後總價為新台幣1,200,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107M-014T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1667,總務處採購組,,1416,1071300528,本校校務研究辦公室請購『支援教育部跨域整合資料庫暨大學校院校務資料庫填報作業』乙案(採購案號：107U-031T)，參考最有利標精神辦理評審，評審結果『麗臺科技股份有限公司』為第一名優勝廠商，擬邀該公司進行議價，可否請核示。,附件1,107U-031T評審會議記錄及評分表等,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1668,總務處採購組,,1417,1071300567,"本校校務研究辦公室採購『支援教育部跨域整合資料庫暨大學校院校務資料庫填報作業』(採購案號：107U-031T)乙案，經決標後總價為新台幣948,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-031T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1669,總務處採購組,,1418,1071300583,"本校教務處採購『LabView校園版全校使用授權（１年期）』(採購案號：107U-039T)乙案，經決標後總價為新台幣274,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-039T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1670,總務處採購組,,1419,1071300638,"本校地科系採購『地電阻影像剖面自動探測儀』(採購案號:107R-005T)經決標後總價為新台幣1,450,000元整，茲檢附得標廠商履約保證金及訂購契約書一式4份，請核閱及准予用印。",附件1,107R-005T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1671,總務處採購組,,1420,1071300660,"本校土木系所採購『研究計畫資料印製三批』(採購案號：107U-053T)乙案，經決標後總價為新台幣903,400元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-053T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1672,總務處採購組,,1421,1071300671,"本校電算中心採購『107年度個人資料管理制度（PIMS）維護委外服務案』(採購案號：107U-067T)乙案，經決標後總價為新台幣305,380元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-067T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1673,總務處採購組,,1422,1071300678,本校前瞻科技研究中心採購『支援正規表示式之高效密訊擷取系統』(採購案號：107U-060T)乙案，經決標後總價為新台幣 整，茲檢附訂購契約書一式4份，請核閱及准予用印。,附件1,107U-060T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1674,總務處採購組,,1423,1071300692,"本校電算中心採購『刀鋒伺服器記憶體擴充46片』(採購案號：107U-046T)乙案，經決標後總價為新台幣333,270元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-046T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1675,總務處採購組,,1424,1071300790,有關本校校務研究辦公室擬採準用最有利標決標方式辦理「支援適應性分析之多維度交叉平台建置」採購案（案號：107M-035T），其採購評選委員會及工作小組成立事宜，詳如說明，請鑒核。,附件1,附件一請購單及異質性理由說明書等,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1676,總務處採購組,,1425,1071300790,有關本校校務研究辦公室擬採準用最有利標決標方式辦理「支援適應性分析之多維度交叉平台建置」採購案（案號：107M-035T），其採購評選委員會及工作小組成立事宜，詳如說明，請鑒核。,附件2,附件二評選委員建議名單,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1677,總務處採購組,,1426,1071300790,有關本校校務研究辦公室擬採準用最有利標決標方式辦理「支援適應性分析之多維度交叉平台建置」採購案（案號：107M-035T），其採購評選委員會及工作小組成立事宜，詳如說明，請鑒核。,附件3,附件三工作小組成員建議名單,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1678,總務處採購組,,1427,1071300815,"本校電機系採購案號107B-004T『3D光學動作分析系統』經決標後總價為新台幣665,000元整，茲檢附得標廠商訂購契約書一式4份，請核閱及准予用印。",附件1,107B-004T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1679,總務處採購組,,1428,1071300795,"本校衛保組採購『107學年度新生健康檢查』(採購案號：107M-028T)乙案，經決標後總價為新台幣 2,413,450元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107M-028T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1680,總務處採購組,,1429,1071300875,"本校總務處保管組採購『中大北村五區教職員職務宿舍更換對講機系統』(採購案號：107U-088T)乙案，經決標後總價為新台幣448,750整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-088T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1681,總務處採購組,,1430,1071300921,"本校大氣系採購『改進全球天氣與氣候預報模式系統-優化CWB 1-tier CFS-v1及更新CWBGFS的動力架構之勞務諮詢』(採購案號：107M-021T)乙案，經決標後總價為新台幣2,500,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107M-021T契約書及議價文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1682,總務處採購組,,1431,1071300963,有關本校「支援適應性分析之多維度交叉平台建置」案(採購案號；107M-035T)採購評選委員會之評選結果，簽請 鑒核。,附件1,107M-035T評選資料(附件1至8)及請購文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1683,總務處採購組,,1432,1071300999,"本校大氣系所採購『PM2.5/PM10雙通道分析儀』(採購案號：107U-101T)乙案，經決標後總價為新台幣989,000整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-101T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1684,總務處採購組,,1433,1079901917,廠商低投標價理由書(新達美縫紉實業有限公司),附件1,107U-108T開標文件及請購單位評估文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1685,總務處採購組,,1434,1071301020,"本校校務研究辦公室採購『支援適應性分析之多維度交叉平台建置』(採購案號：107M-035T)乙案，經決標後總價為新台幣1,490,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107M-035T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1686,總務處採購組,,1435,1071301024,"本校事務組採購『中大會館客房寢具洗滌委外案(107.08.20-108.12.31)』(採購案號：107U-108)乙案，經決標後總價為新台幣656,900整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-108T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1687,總務處採購組,,1436,1071301049,"本校太空及遙測研究中心採購『第37屆測量及空間資訊研討會歡迎晚宴』(採購案號：107U-115T)乙案，經決標後總價為新台幣210,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-115T契約書及開標文件,單位自存,總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1688,總務處採購組,,1437,1071301069,"本校水海所採購『微型資料浮標』(採購案號：107M-042T)乙案，經決標後總價為新台幣7,000,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107M-042T契約書及開標文件,單位抽存(存查單位：採購組),總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1689,總務處採購組,,1438,1071301133,"本校太空所採購『Solidworks 3D設計繪圖軟體』(採購案號：107U-122T)乙案，經決標後總價為新台幣220,710元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-122T契約書及開標文件,單位抽存(存查單位：採購組),總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1690,總務處採購組,,1439,1071301147,本校電機系採購『3D光學動作分析系統』（採購案號：107B-004T）履約逾期10日之違約金計罰事宜，陳請鑒核。,附件1,107B-004T驗收紀錄及請購單,單位抽存(存查單位：採購組),總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1691,總務處採購組,,1440,1071301169,"本校電算中心採購『中央大學TANET 2018臺灣網際網路研討會場佈』(採購案號：107U-129T)乙案，經決標後總價為新台幣392,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-129T契約書及開標文件,單位抽存(存查單位：採購組),總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1692,總務處採購組,,1441,1071301208,密不錄由,附件1,107U-136T委員建議名單及請購單,單位抽存(存查單位：採購組),總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1693,總務處採購組,,1442,1071301259,"本校貴重儀器中心採購『高解析雙束型場發射聚焦離子束顯微鏡之耗材（電流擷取器x2個及電流控制器x1個）』(採購案號：107U-143T)乙案，經決標後總價為新台幣358,478整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,契約書及開標文件,單位抽存(存查單位：採購組),總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1694,總務處採購組,,1443,1071301260,本校太空及遙測研究中心請購『2019年衛星影像月曆』乙案(採購案號：107U-136T)，參考最有利標精神辦理評審，評審結果『中華彩色印刷股份有限公司』為第一名優勝廠商，擬邀該公司進行議價，可否請核示。,附件1,107U-136T評審會議紀錄、評分表及請購單,單位抽存(存查單位：採購組),總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1695,總務處採購組,,1444,1071301282,"本校環工所採購『金屬元素樣本分析』(採購案號：107M-049T)乙案，經決標後總價為新台幣1,200,000整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107M-049T契約書及開標文件等,單位抽存(存查單位：採購組),總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1696,總務處採購組,,1445,1071301313,"本校太空及遙測研究中心採購『2019年衛星影像月曆』(採購案號：107U-136T)乙案，經決標後總價為新台幣385,200元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-136T契約書及評審開標議價文件,單位抽存(存查單位：採購組),總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1697,總務處採購組,,1446,1071301425,"本校事務組採購『108年度電話系統分機與專線線路維護合約』(採購案號：107U-150T)乙案，經決標後總價為新台幣941,600元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-150T契約書及開標文件,單位抽存(存查單位：採購組),總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1698,總務處採購組,,1447,1071301450,有關本校環安中心採購「108年度校園飲用水、地下水、實驗室廢水、排放水、生活污水等水質檢測案」〈採購案號：107U-164T〉乙案，擬成立評審委員會，簽請鈞長核示。,附件1,附件1:107U-164T請購文件,單位抽存(存查單位：採購組),總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1699,總務處採購組,,1448,1071301450,有關本校環安中心採購「108年度校園飲用水、地下水、實驗室廢水、排放水、生活污水等水質檢測案」〈採購案號：107U-164T〉乙案，擬成立評審委員會，簽請鈞長核示。,附件2,附件2:107U-164T評審委員建議名單,單位抽存(存查單位：採購組),總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1700,總務處採購組,,1449,1071301542,"本校地科中心採購案號107R-012T『西元2019年Nature Climate Change、Nature Geoscience電子期刊』總價為新台幣2,045,400元整，茲檢附得標廠商履約保證金及訂購契約書一式4份，請核閱及准予用印。",附件1,107R-012T契約書及議價請購文件,單位抽存(存查單位：採購組),總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
1701,總務處採購組,,1450,1071301546,"本校研發處採購『國立中央大學八德校區籌設計畫書空間規劃及財務評估等委託服務案』(採購案號：107U-171T)乙案，經決標後總價為新台幣870,000元整，茲檢附訂購契約書一式4份，請核閱及准予用印。",附件1,107U-171T契約書及議價請購文件,單位抽存(存查單位：採購組),總務處採購組,楊淑娟,"□存於原單位架上
□已另案歸檔，文號：_________________
□案件未了，預計完成日期：___/___/___ 
□有遺失、缺漏、毀損 ",
